iter	Passed	Remaining
0	63	6326
1	65	3214
2	70	2271
3	76	1833
4	77	1475
5	79	1239
6	82	1094
7	85	984
8	89	901
9	90	813
10	93	752
11	94	696
12	96	643
13	97	601
14	101	574
15	105	552
16	106	519
17	110	504
18	112	480
19	114	456
20	119	448
21	120	426
22	122	408
23	123	390
24	124	374
25	125	358
26	127	344
27	129	331
28	131	320
29	134	313
30	135	301
31	138	293
32	142	289
33	144	279
34	145	270
35	146	260
36	147	251
37	148	242
38	149	233
39	150	225
40	152	220
41	153	212
42	155	205
43	156	198
44	158	193
45	162	190
46	163	184
47	165	179
48	167	173
49	168	168
50	169	162
51	170	157
52	171	152
53	174	148
54	175	143
55	178	140
56	180	136
57	185	133
58	188	131
59	192	128
60	196	125
61	198	121
62	201	118
63	203	114
64	206	111
65	211	108
66	214	105
67	217	102
68	220	98
69	221	94
70	222	90
71	224	87
72	225	83
73	226	79
74	227	75
75	230	72
76	231	69
77	232	65
78	233	62
79	234	58
80	235	55
81	236	51
82	239	49
83	241	45
84	242	42
85	243	39
86	245	36
87	246	33
88	247	30
89	248	27
90	251	24
91	253	22
92	254	19
93	255	16
94	256	13
95	258	10
96	259	8
97	260	5
98	262	2
99	263	0
